#                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
UBA4733|DHIZ01000277.1|UBA4733_contig_1107_29 -           1519 COG0086              -           1183         0 1661.4   5.4   2   4     1e-35   3.8e-32  112.5   0.0    74   192    83   200    76   238 0.75 -
UBA4733|DHIZ01000277.1|UBA4733_contig_1107_29 -           1519 COG0086              -           1183         0 1661.4   5.4   3   4         0         0 1200.6   0.0   142  1000   329  1233   324  1240 0.92 -
UBA4733|DHIZ01000277.1|UBA4733_contig_1107_29 -           1519 COG0086              -           1183         0 1661.4   5.4   4   4   2.5e-80   9.5e-77  260.3   0.5   963  1161  1268  1466  1253  1480 0.90 -
IMG2561511072|IMG2561511072                   -           1174 COG0086              -           1183         0 1326.6   0.0   1   1         0         0 1326.3   0.0     7  1146     5  1171     1  1173 0.96 -
UBA5189|DHWF01000048.1|UBA5189_contig_670_1   -            974 COG0086              -           1183  2.7e-289  964.3   0.5   1   3  4.3e-127  1.6e-123  415.2   0.0   423   759     1   365     1   368 0.96 -
UBA5189|DHWF01000048.1|UBA5189_contig_670_1   -            974 COG0086              -           1183  2.7e-289  964.3   0.5   2   3   4.3e-87   1.6e-83  282.7   0.1   752  1000   420   684   417   699 0.89 -
UBA5189|DHWF01000048.1|UBA5189_contig_670_1   -            974 COG0086              -           1183  2.7e-289  964.3   0.5   3   3   1.1e-80   4.1e-77  261.5   0.1   963  1162   705   904   695   922 0.91 -
UBA4669|DHLL01000023.1|UBA4669_contig_4071_6  -            408 COG0086              -           1183   4.5e-91  307.7   0.5   1   2   3.4e-68   1.3e-64  220.1   0.1   898  1086     1   193     1   200 0.92 -
UBA4669|DHLL01000023.1|UBA4669_contig_4071_6  -            408 COG0086              -           1183   4.5e-91  307.7   0.5   2   2   9.5e-28   3.6e-24   86.1   0.0  1103  1168   277   342   273   356 0.87 -
IMG2561511072|IMG2561511072                    -            329 COG0202              -            323  8.8e-121  404.2   0.0   1   1  3.2e-124  1.1e-120  403.9   0.0    10   308     8   306     2   316 0.95 -
UBA4669|DHLL01000185.1|UBA4669_contig_2105_5   -            347 COG0202              -            323  1.1e-119  400.7   0.0   1   1  3.6e-123  1.3e-119  400.4   0.0     7   309     6   307     1   318 0.97 -
IMG646311962|IMG646311962                      -            367 COG0202              -            323    4e-116  388.9   0.0   1   1  1.5e-119  5.2e-116  388.5   0.0     7   309    25   326    18   339 0.96 -
IMG2510461066|IMG2510461066                    -            310 COG0202              -            323  1.4e-115  387.1   0.0   1   1    5e-119  1.7e-115  386.8   0.0    10   309     2   302     1   309 0.95 -
IMG2508501111|IMG2508501111                    -            331 COG0202              -            323  7.2e-115  384.8   0.0   1   1  2.7e-118  9.6e-115  384.4   0.0    10   309     7   306     2   311 0.95 -
IMG2140918011|IMG2140918011                    -            326 COG0202              -            323  1.6e-111  373.8   0.0   1   1  5.8e-115    2e-111  373.4   0.0    10   310     9   311     5   325 0.93 -
UBA4733|DHIZ01000219.1|UBA4733_contig_12410_20 -            328 COG0202              -            323  2.1e-111  373.4   0.0   1   1  8.1e-115  2.8e-111  373.0   0.0    12   305    15   309     9   313 0.94 -
IMG646311953|IMG646311953                      -            340 COG0202              -            323  2.5e-111  373.2   0.0   1   1  8.7e-115  3.1e-111  372.9   0.0     7   319     4   314     1   319 0.94 -
UBA5189|DHWF01000017.1|UBA5189_contig_154_22   -            332 COG0202              -            323  1.5e-109  367.3   0.0   1   1    5e-113  1.8e-109  367.1   0.0     7   315     4   311     1   322 0.95 -
UBA5177|DHWR01000165.1|UBA5177_contig_13715_27 -            323 COG0202              -            323  1.7e-108  363.8   0.0   1   1  5.8e-112    2e-108  363.6   0.0    10   309     6   307     1   316 0.95 -
IMG2540341062|IMG2540341062                    -            330 COG0202              -            323  4.8e-108  362.4   0.0   1   1  1.7e-111    6e-108  362.0   0.0    11   315     8   315     2   324 0.96 -
IMG2506520040|IMG2506520040                    -            335 COG0202              -            323  1.5e-107  360.7   0.0   1   1  5.7e-111    2e-107  360.3   0.0     7   309    20   322    12   328 0.96 -
IMG2506520040|IMG2506520040                    -            337 COG0202              -            323  7.2e-101  338.8   0.0   1   1  2.7e-104  9.4e-101  338.4   0.0    10   314    11   313     4   323 0.94 -
IMG646311962|IMG646311962                      -            785 COG0202              -            323   2.4e-17   64.3   0.2   1   4     0.005        18    5.6   0.0   264   314    15    65     9    73 0.91 -
IMG646311962|IMG646311962                      -            785 COG0202              -            323   2.4e-17   64.3   0.2   2   4      0.23   8.1e+02    0.1   0.0   248   282    86   120    77   126 0.81 -
IMG646311962|IMG646311962                      -            785 COG0202              -            323   2.4e-17   64.3   0.2   3   4   4.9e-11   1.7e-07   31.9   0.3   247   303   155   211   138   225 0.92 -
IMG646311962|IMG646311962                      -            785 COG0202              -            323   2.4e-17   64.3   0.2   4   4   1.4e-07   0.00048   20.6   0.0   247   314   235   305   213   316 0.79 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      resources/models/rnapol.hmm
# Target file:     example_q/nsgt_out/example_q-example_r-rnapol-fasttree-perc7/analyses/tmp/merged.faa
# Option settings: hmmsearch --domtblout example_q/nsgt_out/example_q-example_r-rnapol-fasttree-perc7/analyses/hmmout/rnapol.out --noali -E 1e-10 --cpu 24 resources/models/rnapol.hmm example_q/nsgt_out/example_q-example_r-rnapol-fasttree-perc7/analyses/tmp/merged.faa 
# Current dir:     /pscratch/sd/f/fschulz/01projects/testing/nsgtree
# Date:            Fri Feb  3 20:17:55 2023
# [ok]
